127.0.0.1 - - [18/Feb/2022:09:30:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:30:03 +0900] "GET /day08/jsonTest.jsp HTTP/1.1" 200 842
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:30:03 +0900] "GET /day08/data.json HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:30:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:31:01 +0900] "GET /day08/jsonTest.jsp HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:32:01 +0900] "GET /day08/jsonTest.jsp HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:32:01 +0900] "GET /day08/data.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:33:05 +0900] "GET /day08/jsonTest.jsp HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:33:30 +0900] "GET /day08/jsonTest.jsp HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:33:30 +0900] "GET /day08/data.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2022:09:34:39 +0900] "GET /day08/jsonTest.jsp HTTP/1.1" 200 953
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:16:43 +0900] "GET /day08/jstlTest1.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:17:38 +0900] "GET /day08/jstlTest1.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:19:19 +0900] "GET /day08/jstlTest1.jsp HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:20:37 +0900] "GET /day08/jstlTest1.jsp HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:21:39 +0900] "GET /day08/jstlTest1.jsp HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:24:14 +0900] "GET /day08/jstlTest2.jsp HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:25:05 +0900] "GET /day08/jstlTest2.jsp HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:25:37 +0900] "GET /day08/jstlTest2.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:26:09 +0900] "GET /day08/jstlTest2.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:33:05 +0900] "GET /day08/jstlTest3.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:33:19 +0900] "GET /day08/jstlTest3.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:33:59 +0900] "GET /day08/jstlTest3.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:34:36 +0900] "GET /day08/jstlTest3.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:34:41 +0900] "GET /day08/jstlTest3.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:36:22 +0900] "GET /day08/jstlTest3.jsp HTTP/1.1" 200 382
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:36:28 +0900] "GET /day08/jstlTest3.jsp HTTP/1.1" 200 389
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:38:42 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:39:53 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 500 2797
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:40:04 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 500 3523
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:41:21 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 500 3572
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:41:57 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:43:42 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:44:06 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:44:27 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 200 1517
0:0:0:0:0:0:0:1 - - [18/Feb/2022:10:44:41 +0900] "GET /day08/jstlTest4.jsp HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:37:33 +0900] "GET /day08/jstlTask1.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:37:42 +0900] "GET /day08/jstlTask1.jsp?name=admin HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:38:50 +0900] "GET /day08/jstlTask1.jsp HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:38:54 +0900] "GET /day08/jstlTask1.jsp?name=admin HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:38:58 +0900] "GET /day08/jstlTask1.jsp?name=member HTTP/1.1" 200 767
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:39:39 +0900] "GET /day08/jstlTask1.jsp HTTP/1.1" 500 3088
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:10 +0900] "GET /day08/jstlTask1.jsp HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:18 +0900] "GET /day08/jstlTask1.jsp?name=admin HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:23 +0900] "GET /day08/jstlTask1.jsp?name=member HTTP/1.1" 200 677
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:40:27 +0900] "GET /day08/jstlTask1.jsp?name=fdsf HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:44:15 +0900] "GET /day08/jstlTask2.jsp HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:44:33 +0900] "GET /day08/jstlTask2.jsp?number=3 HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:44:35 +0900] "GET /day08/jstlTask2.jsp?number=3 HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:46:10 +0900] "GET /day08/jstlTask2.jsp HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:46:39 +0900] "GET /day08/jstlTask2.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:46:43 +0900] "GET /day08/jstlTask2.jsp?number=8 HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:46:46 +0900] "GET /day08/jstlTask2.jsp?number=3 HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:49:14 +0900] "GET /day08/jstlTask2.jsp HTTP/1.1" 200 981
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:49:17 +0900] "GET /day08/jstlTask2.jsp?number=150 HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:49:21 +0900] "GET /day08/jstlTask2.jsp?number=-1 HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:49:23 +0900] "GET /day08/jstlTask2.jsp?number=0 HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [18/Feb/2022:11:49:25 +0900] "GET /day08/jstlTask2.jsp?number=50 HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/app/member/join.jsp HTTP/1.1" 200 9985
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/images/join01.png HTTP/1.1" 200 310584
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/assets/css/main.css HTTP/1.1" 200 131286
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/app/member/join.js HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/assets/js/main.js HTTP/1.1" 200 6373
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/assets/css/fontawesome-all.min.css HTTP/1.1" 200 56251
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/images/ex01.png HTTP/1.1" 200 77300
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/images/ex03.png HTTP/1.1" 200 650541
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:42 +0900] "GET /day08/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [18/Feb/2022:15:47:43 +0900] "GET /day08/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
